state;value
68719476865 34628190208 ;-1.2800000000000002
206158430337 34628190208 ;-1.2000000000000002
206158430337 34630287360 ;-1.0
68721574017 34628190464 ;1.3299200000000002
68734156929 172067143938 ;1.44
68734157441 172067143938 ;1.0
68734156929 34628190466 ;1.6320000000000001
68725768321 34628190466 ;1.7152
68725768321 34628190464 ;1.3248000000000002
68721574529 34628190466 ;1.3120000000000003
68721607297 34628190470 ;1.2000000000000002
68721607305 34628190470 ;1.0
68721607297 34628190466 ;1.2800000000000002
68721574533 34628223234 ;-1.2800000000000002
69258445445 34628223234 ;-1.2000000000000002
69258445445 34632417538 ;-1.0
68725768837 34628288770 ;-1.2800000000000002
69262639749 34628288770 ;-1.2000000000000002
69262639749 34628419842 ;-1.0
68725899909 34628289794 ;1.3120000000000003
68734288517 34628289802 ;1.2000000000000002
68751065733 34628289802 ;1.0
