state;mask;score;visit count
4398048608256;4398048657408;1;1
4466765987840;4501127823360;35;72
4398046511105;13228499271681;263;486
13194139533312;13194410065920;1;3
4432406249472;4432412540928;1;2
268435584;268435587;2;3
4398314946560;4398851817600;2;3
268468224;268484736;1;3
4398046543872;4398046625792;0;1
34359771136;4432406298624;0;2
34628173824;34630270977;1;2
103079215104;103081312257;2;3
34359738624;34359738753;1;2
270532608;270548993;2;3
2097154;2097283;0;2
4398046511106;4398046511235;1;2
4432406249472;4432674684929;1;2
129;103079215233;13;27
2113536;807419904;0;1
4398046511232;13194139549824;1;1
4432406249472;4432406265984;2;4
4398048608256;4398317060096;1;2
2097280;34361852032;14;30
4398046511232;4432406265984;34;76
268435457;270532611;2;2
257;2097537;0;2
34361835520;103081312384;0;1
81920;114689;1;1
384;268452224;1;2
129;805306497;2;3
536871040;4398851817600;0;2
6291456;4398321238016;2;4
384;270532992;0;2
270532608;270532611;2;2
16640;4398046527872;0;2
34359738369;34361835649;1;3
34359738370;34361835523;0;1
12582912;4398061191168;3;4
2097280;4432408346752;5;13
34361835520;4432408346752;2;3
270532608;13194410065920;2;3
8796361457664;13194407985152;1;2
1342177280;4399925559296;1;1
0;34359738368;7002;10000
4466765987840;4501125742592;37;81
4398046527488;4501125742592;10901;11321
68721573888;4501127823360;4;13
270532608;4432676782080;28;49
8796095119360;13228501368832;0;5
4432406249600;4501127823488;1;3
34359787520;4501125775360;7;16
8830452776960;13228501385216;31;58
34359754753;4432674701313;45;83
34359787520;4432674734080;5;14
4398046511232;4432674685056;26;61
4398583382016;4433211555840;36;76
4398314946560;4501394161664;198;379
13194139533312;13297218748416;146;290
34359787520;4432408395776;6;16
103079231488;4501394178048;40;75
4398050705408;4432412540928;40;80
4398048608256;4432408346752;72;129
13194139533312;13228499271808;39;82
34359771137;4432406298625;87;184
103079231488;4501127839744;26;54
8830452776960;13228767723520;20;45
21990232555520;30820685316096;153;306
4210688;34366046208;14;25
68719476737;103079231489;13;26
268435584;34628174208;0;4
34359754753;4432408363009;44;77
2113536;34361852032;6;15
17695265259520;30889404792832;15;34
4398046527488;4432408363008;26;59
68719493120;103081328640;8;17
4398048608256;4432412540928;12;24
68721573888;103085506560;17;30
206158430208;240518184960;35;54
257;34359738753;4;13
3;34359738499;28;46
34359738500;34359738503;1;3
8796093022209;13228499271681;7;18
16512;34359787648;2;7
268435584;34628190336;28;45
34359787520;34628223104;3;7
34630270976;4432676782208;3;9
343597383680;515396075520;12;19
68719476737;103081312257;10;21
68719476864;103347650688;7;16
2097280;34366029952;6;15
34359739008;34359739265;0;1
68719476737;240518168577;0;4
4432406249600;4432676782208;6;10
4432406249473;4432408346753;3;5
4432406249600;4432412541056;0;1
6291456;103085506560;5;16
268435584;35165044864;5;13
268435584;103347650688;5;13
268451840;35165061120;7;15
4398046511360;4432406249856;32;72
49152;34359787648;17;29
68719493120;103079231489;2;8
16386;34359754755;1;7
68719509504;103079264256;4;13
34359754880;240518185088;5;8
68987912192;4501394161664;9;22
206158430208;4638564679680;10;20
34628190208;103347699712;0;1
6291456;34634465280;13;27
4398048608256;13228501368832;212;403
268435712;34628174208;17;30
270532608;35167141888;3;10
805306368;35165061120;10;21
268468224;34628222976;10;22
137707388928;240786604032;31;51
805306368;103884521472;11;24
268435457;103347650561;6;17
34359754880;34628223104;2;3
268451840;34628190336;2;11
4432406265856;4433211572224;9;13
103079215232;103347667072;2;4
103079231488;103884537856;1;3
34359738371;103347650563;4;8
805306368;4433211555840;33;56
272629760;34634465280;20;36
34359754753;34628222977;1;2
34359787520;34628222977;3;5
103079231488;103347699712;3;4
240518168576;241323474944;1;3
34896625664;35165061121;6;8
34896609281;35165061121;2;5
34359754880;34628190337;0;2
268435457;35165044737;17;28
6291456;34366046208;43;69
34359754880;34366046336;8;12
34361851904;240520282112;4;7
34359787520;240518217728;2;5
34628190208;240786620416;2;5
4432406265856;4638564696064;12;14
68719476864;240518168704;3;8
309237661696;515396091904;5;7
34359820288;103079329792;0;1
68719476864;4501125726336;12;23
8796093038592;13228499288064;15;27
5;34359738375;15;29
268435457;34628173827;22;38
2097153;34361835523;8;19
129;34359738499;29;46
3;34628173827;19;36
129;34361835649;11;23
68987912192;103349747712;8;18
206158430208;240520265728;20;34
4432408346624;4638566776832;5;7
34361835648;103349747840;1;4
34359771137;103079264257;1;2
69256347648;103884521472;9;18
68719476992;103079215488;6;15
4432410443776;4432680976384;0;3
34361851904;13228501385216;10;16
34359754753;4501125742593;46;82
4432406249600;4432406249603;4;6
34359754880;34359754883;2;5
34628173952;34628173955;5;7
34359738752;34359738755;9;11
103079215232;103079215235;6;8
34361835648;34630271105;2;4
68719476737;103079215107;9;20
16385;34359754755;9;20
34359754880;34359755137;0;1
268435457;34630270977;9;21
103079215232;4501394161792;20;45
240518168576;4638566776832;27;55
137438953473;240518168577;18;34
3;103079215107;30;50
103347650560;103347650563;5;8
103347650560;240786604033;1;3
34361835522;34630270979;1;3
34628190208;34630287361;3;6
103347650560;103349747713;6;10
35165044736;35167141889;0;2
103616086016;103884521473;3;5
103079215232;103081312385;9;13
103079215232;103347650689;2;4
103081312256;103081312259;3;6
4501125726208;4501127823361;3;6
4501125726208;4501394161665;1;4
34359738498;34628173955;4;6
4432674684928;4501394161665;8;11
34630270976;103349747713;7;11
34628190208;4432674701313;9;16
240518168576;240518168579;5;8
32769;34359787521;8;19
34359820288;34628288512;0;1
103083409408;103085506688;0;3
34359754880;4432408363136;11;22
384;34361835904;27;44
34630270976;240788701184;3;6
34361851904;103081328768;0;2
34359738371;240518168579;1;3
34359754753;103081328641;0;2
4432406249473;4501125742593;0;2
68719493120;240518184960;6;12
34359754753;34366046209;10;13
103079231488;103085522944;3;6
34359738371;103079231491;0;1
4569845202944;4638833115136;0;2
34628173825;103349747713;0;3
34359738497;35165044865;6;10
34361835521;35167141889;7;10
8830454857728;13228501368833;111;227
34359754880;34628190592;2;4
34359738497;4432408346753;37;68
171798691842;240518168579;2;4
137441050624;240520265728;15;30
34359754880;103079231617;3;6
4432406265856;4501125742593;2;4
103081312256;4501396258816;24;51
8899172237312;13297487183872;31;62
103347650560;103353942016;1;3
34361835648;240520265856;4;6
34366029824;240524460032;1;3
34366029824;4432412557312;6;13
4398046511232;13228499271808;145;293
34361835521;34630270979;7;9
16385;34359787521;0;4
4432406265856;4432408363136;1;3
34630270976;34630271360;3;6
4432408346624;4432408347008;2;5
34361835776;34361852288;3;5
34366029824;34634465408;4;6
103081312256;103081312640;4;6
103081312256;103349747840;4;7
34630270976;34630287488;2;4
16512;34359755136;1;6
34898706432;35167142016;3;6
34361851904;34361852288;4;6
34361835521;34361835905;1;3
384;34628174208;8;17
34361835521;34630271105;1;3
34359755008;34359787904;1;3
34359754753;34359787649;2;4
34361851904;34361884800;1;3
4432406265856;4432406298752;2;3
16512;103079231616;11;21
137438953600;240518168704;19;31
377957122048;515396075648;2;4
103079215105;103079231617;3;4
103079215360;240518168960;4;5
4501125726208;4501125742720;0;2
384;34359738753;7;16
640;34359739264;0;4
34630270976;103349747840;4;6
103079215105;240518168705;1;3
103079231488;240518185088;2;4
4501125726208;4638564679808;3;4
103347650560;240786604160;2;4
103079215105;103081312385;1;4
34359787520;34359787904;1;2
34359754753;34628190337;4;8
4432406265856;4432406265985;6;9
8796093022336;13228499271808;13;23
34361851904;4432408363136;9;16
34359754753;4432406298625;8;15
34359787520;4432406298752;6;13
103347650560;4501394178048;85;165
103347650560;4501394161792;50;92
35165044736;4433211555968;8;15
34628173952;4432674701440;15;24
34628174080;4432674685312;3;9
34630270976;4432676798464;8;17
